mtdev 1.1.7-1
mujs 1.3.5-1
mypaint-brushes1 1.3.1-1
nasm 2.16.03-1
ncurses 6.5-3
neon 0.33.0-1
nettle 3.10-1
ninja 1.12.1-1
nlohmann-json 3.11.2-3
nm-connection-editor 1.36.0-1
node-gyp 10.1.0-3
nodejs 22.4.0-1
nodejs-nopt 7.2.0-1
npth 1.7-1
nspr 4.35-3
nss 3.102-1
nvidia-utils 555.58.02-1
ocl-icd 2.3.2-1
onetbb 2021.13.0-1
oniguruma 6.9.9-1
openal 1.23.1-2
opencolorio 2.3.2-3
opencore-amr 0.1.6-1
opencv 4.10.0-3
openexr 3.2.4-1
openjpeg2 2.5.2-1
openssh 9.8p1-1
openssl 3.3.1-1
openssl-1.1 1.1.1.w-1
optipng 0.7.8-1
opus 1.5.2-1
orc 0.4.38-1
ostree 2024.6-1
p11-kit 0.25.3-1
pacman 6.1.0-3
pacman-mirrorlist 20231001-1
pacutils 0.14.0-1
pahole 1:1.27-1
pam 1.6.1-2
pambase 20230918-1
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.52.0-1
parted 3.6-1
patch 2.7.6-10
pciutils 3.13.0-1
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.2.3-1
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phonon-qt5 4.12.0-4
phonon-qt5-gstreamer 4.10.0-4
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pinentry 1.3.1-2
pipewire-audio 1:1.2.0-2
pixman 0.43.4-1
pkgconf 2.1.1-1
plasma-activities 6.1.2-1
playerctl 2.4.1-3
polkit 124-2
polkit-qt6 0.200.0-1
poppler 24.06.1-1
poppler-data 0.4.12-2
poppler-glib 24.06.1-1
popt 1.19-1
portaudio 1:19.7.0-2
postgresql-libs 16.3-2
potrace 1.16-3
procps-ng 4.0.4-3
protobuf 27.2-1
psmisc 23.7-1
pugixml 1.14-1
pystring 1.1.4-1
python 3.12.4-1
python-aiofiles 23.2.1-2
python-argcomplete 3.1.2-1
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-build 1.2.1-3
python-cachecontrol 1:0.14.0-3
python-cachy 0.3.0-10
python-cattrs 23.2.3-3
python-cffi 1.16.0-2
python-charset-normalizer 3.3.2-2
python-cleo 2.1.0-2
python-click 8.1.7-3
python-crashtest 0.4.1-3
python-cryptography 42.0.6-1
python-dateutil 2.9.0-5
python-distlib 0.3.8-2
python-distro 1.9.0-2
python-docopt 0.6.2-13
python-docstring-to-markdown 0.15-2
python-dulwich 0.22.1-1
python-dunamai 1.18.0-2
python-fastjsonschema 2.20.0-1
python-filelock 3.13.3-2
python-gobject 3.48.2-1
python-greenlet 3.0.3-2
python-html5lib 1.1-14
python-idna 3.7-1
python-inflect 7.3.1-1
python-installer 0.7.0-8
python-jaraco.classes 3.4.0-1
python-jaraco.context 4.3.0-4
python-jaraco.functools 4.0.1-1
python-jaraco.text 3.12.1-1
python-jeepney 0.8.0-3
python-jinja 1:3.1.4-1
python-jsonschema 4.22.0-1
python-jsonschema-specifications 2023.12.1-2
python-keyring 25.2.1-1
python-keyutils 0.6-10
python-lark-parser 1.1.9-3
python-lockfile 0.12.2-13
python-lsprotocol 2023.0.1-2
python-mako 1.3.5-1
python-markdown 3.6-3
python-markupsafe 2.1.5-2
python-more-itertools 10.2.0-2
python-msgpack 1.0.5-2
python-mypy_extensions 1.0.0-4
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-parso 1:0.8.4-2
python-pathspec 0.12.1-2
python-pexpect 4.9.0-2
python-pillow 10.4.0-1
python-pkginfo 1.10.0-1
python-platformdirs 4.2.2-1
python-poetry 1.8.3-1
python-poetry-core 1.9.0-5
python-poetry-dynamic-versioning 1.2.0-2
